(5.172413793103448,0.0)
(-5.172413793103448,-0.0)
(10.344827586206897,0.0)
(-10.344827586206897,-0.0)
(15.517241379310345,0.0)
(-15.517241379310345,-0.0)
(20.689655172413794,0.0)
(-20.689655172413794,-0.0)
(25.862068965517242,0.0)
(-25.862068965517242,-0.0)
(31.03448275862069,0.0)
(-31.03448275862069,-0.0)
(36.20689655172414,0.0)
(-36.20689655172414,-0.0)
(41.37931034482759,0.0)
(-41.37931034482759,-0.0)
(46.55172413793103,0.0)
(-46.55172413793103,-0.0)
(51.72413793103448,0.0)
(-51.72413793103448,-0.0)
(56.89655172413792,0.0)
(-56.89655172413792,-0.0)
(62.06896551724137,0.0)
(-62.06896551724137,-0.0)
(67.24137931034481,0.0)
(-67.24137931034481,-0.0)
(72.41379310344826,0.0)
(-72.41379310344826,-0.0)
(77.5862068965517,0.0)
(-77.5862068965517,-0.0)
(82.75862068965515,0.0)
(-82.75862068965515,-0.0)
(87.93103448275859,0.0)
(-87.93103448275859,-0.0)
(93.10344827586204,0.0)
(-93.10344827586204,-0.0)
(98.27586206896548,0.0)
(-98.27586206896548,-0.0)
(103.44827586206893,0.0)
(-103.44827586206893,-0.0)
(108.62068965517237,0.0)
(-108.62068965517237,-0.0)
(113.79310344827582,0.0)
(-113.79310344827582,-0.0)
(118.96551724137926,0.0)
(-118.96551724137926,-0.0)
(124.1379310344827,0.0)
(-124.1379310344827,-0.0)
(129.31034482758616,0.0)
(-129.31034482758616,-0.0)
(134.48275862068962,0.0)
(-134.48275862068962,-0.0)
(139.65517241379308,0.0)
(-139.65517241379308,-0.0)
(144.82758620689654,0.0)
(-144.82758620689654,-0.0)
(150.0,0.0)
(-150.0,-0.0)
(155.17241379310346,0.0)
(-155.17241379310346,-0.0)
